Q9NXB0	MKS1
Q05BS0	EIF3A
Q9UL41	PNMA3
Q8WXD2	SCG3
Q9UKS7	IKZF2
Q9UL46	PSME2
P54840	GYS2
Q8WXD0	RXFP2
Q9UKS6	PACSIN3
Q9UL45	BLOC1S6
Q13740	ALCAM
F6SFB5	AP1S2
Q13745	Acute lymphocytic leukemia (ALL) BCR-ABL mRNA encoding P185-ALL-ABL protein {ECO:0000313|EMBL:AAA355
Q6LBS5	Dystrophin-related protein (490 AA) {ECO:0000313|EMBL:CAA33515.1}
Q9NXA8	SIRT5
P54849	EMP1
P54845	NRL
Q8WXD5	GEMIN6
P15289	ARSA
B3KXM2	Serine/threonine-protein phosphatase {ECO:0000256|RuleBase:RU004273}
B3KXM8	cDNA FLJ45745 fis, clone KIDNE2018268, highly similar to Homo sapiens zinc finger protein 503 (ZNF50
Q9UL51	HCN2
A8MW95	BECN2
Q05C32	PTGER1
Q9UKT5	FBXO4
Q9UKT4	FBXO5
Q9UL54	TAOK2
A8MW92	PHF20L1
Q8J025	APCDD1
Q9BTV7	CABLES2
Q9Y666	SLC12A7
Q9UKL0	RCOR1
Q9Y5U5	TNFRSF18
Q9BTV6	DPH7
Q9Y5U8	MPC1
S4R3Q6	VPS26A
Q9BTV5	FSD1
Q9Y662	HS3ST3B1
Q9UKL4	GJD2
Q9Y664	KPTN
Q9Y5U4	INSIG2
Q9UKL3	CASP8AP2
Q9Y663	HS3ST3A1
Q9UKL2	OR52A1
Q8WWZ1	IL1F10
A0A3B3IS11	Histone H2A {ECO:0000256|RuleBase:RU003767}
A0A3B3IRP4	EIF2B5
Q9UKL6	PCTP
Q9NWY4	HPF1
Q9Y5U9	IER3IP1
Q96R45	OR2A7
A6NDK9	GOLGA6C
Q96R47	OR2A14
Q8WWY6	MBD3L1
Q5XKR4	OTP
F1C4A7	CD14
Q96QS3	ARX
C9IYQ7	NUP35
Q8WWY3	PRPF31
A3KMG8	ZMIZ2
P29803	PDHA2
B3KXF2	cDNA FLJ45314 fis, clone BRHIP3005142, highly similar to Proteasome-associated protein ECM29 homolog
Q9Y5V0	ZNF706
Q96R48	OR2A5
C9IZ22	FXR1
B7ZKR9	POLR1A
A3KMG5	KIAA0406
Q9BTU6	PI4K2A
Q9Y676	MRPS18B
Q9BU64	CENPO
Q9Y679	AUP1
Q9Y678	COPG1
Q86WZ6	ZNF227
Q9Y5V3	MAGED1
Q9Y675	SNURF
A0A3B3IS23	COPA
Q9UKM9	RALY
Q9NWZ3	IRAK4
Q9NWZ5	UCKL1
Q3KQZ8	EPRS
Q9BU61	NDUFAF3
A0A1W1GSL6	ERCC4
Q9NWZ8	GEMIN8
Q99996	AKAP9
Q96R30	OR2V2
Q8WX93	PALLD
Q8WX94	NLRP7
A0A3B3IRP5	CDC73
Q6R2W3	ZBED9
B3KXG0	cDNA FLJ45349 fis, clone BRHIP3011460, highly similar to Homo sapiens Src homology 3 domain-containi
Q8WX92	NELFB
Q96QR1	SCGB3A1
A8MVZ6	BICD1
Q96QR8	PURB
B3KXG5	cDNA FLJ45375 fis, clone BRHIP3019824 {ECO:0000313|EMBL:BAG54477.1}
Q8WWX9	SELENOM
A6NDL8	OR6C68
Q9Y5W8	SNX13
Q9BTT4	MED10
Q6GTX8	LAIR1
Q9UKN1	MUC12
Q9UKN7	MYO15A
Q9Y5W3	KLF2
Q9UKN5	PRDM4
Q9Y5W5	WIF1
Q6YHK3	CD109
Q9BTT6	LRRC1
Q8WWX0	ASB5
Q99990	VGLL1
Q9UKN8	GTF3C4
Q9BTT0	ANP32E
Q99986	VRK1
Q99985	SEMA3C
A0A3B3IS27	CLIP1
Q99983	OMD
Q8WWW0	RASSF5
Q9Y691	KCNMB2
Q9Y5X1	SNX9
Q13561-3	DCTN2
B7ZL13	FNBP1
Q9Y5X0	SNX10
Q9Y5X3	SNX5
B7ZL14	FNBP1
Q5XKP0	MICOS13
Q9Y692	GMEB1
Q9Y5X2	SNX8
Q96R27	OR2M4
Q99988	GDF15
Q8WWW8	GAB3
Q96R28	OR2M2
Q9Y5X9	LIPG
Q9Y698	CACNG2
Q9UL03	INTS6
Q86X95	CIR1
A0A0D9SEN0	EIF2B3
Q9UL01	DSE
Q9Y5X5	NPFFR2
Q86WX3	RPS19BP1
Q9Y5X4	NR2E3
Q9Y697	NFS1
Q9Y696	CLIC4
P37231-3	PPARG
Q9BU40	CHRDL1
A0A3B3IS41	RALGAPA2
Q8WWV6	FCAMR
Q96QP1	ALPK1
Q99973	TEP1
Q8WWV3	RTN4IP1
P17812	CTPS1
P17813	ENG
A0A3B3IRR8	MCM4
Q00403	GTF2B
Q99972	MYOC
Q9Y5Y2	NUBP2
C9IYT0	DKC1
A6NDN3	GOLGA6B
Q9Y5Y4	PTGDR2
Q9Y5Y3	GPR45
B7ZKQ7	ING3
Q9Y5Y0	FLVCR1
P04554	PRM2
Q9Y624	F11R
B3KXB6	cDNA FLJ45101 fis, clone BRAWH3032298, highly similar to Tenascin-N {ECO:0000313|EMBL:BAG54428.1}
Q9Y623	MYH4
Q9Y5Q3	MAFB
Q9Y620	RAD54B
A0A3B3IS56	EIF2B5
Q9Y5Q9	GTF3C3
Q9BTZ2	DHRS4
A0A3B3IS57	MCM4
Q9Y5Q6	INSL5
Q9Y625	GPC6
Q9Y5Q5	CORIN
Q9Y5Q8	GTF3C5
Q9NX62	IMPAD1
A0A3B3IS54	DARS2
Q9NWU2	GID8
Q9NX63	CHCHD3
Q9NWU5	MRPL22
Q9NX65	ZSCAN32
Q96QW8	FRAP1
Q01726	MC1R
Q86XA0	METTL23
Q9Y5R2	MMP24
Q9Y5R5	DMRT2
Q9BTY7	HGH1
Q9UKI2	CDC42EP3
Q9BTY2	FUCA2
C0IMW8	Smarce1 variant 10 {ECO:0000313|EMBL:ACA81395.1}
Q9NX70	MED29
Q9UKI3	VPREB3
A0A0D9SEP9	STXBP1
A0A1W1GSP5	ERCC4
Q9UKI9	POU2F3
Q9Y5R6	DMRT1
Q9Y639	NPTN
Q9UKI8	TLK1
Q9Y5R8	TRAPPC1
Q5BKX8	CAVIN4
Q9NX74	DUS2
Q9NWV8	BABAM1
Q96QV6	HIST1H2AA
Q01718	MC2R
P30838	ALDH3A1
B3KXC1	CPEB3
F8WFC1	KRI1
Q9Y644	RFNG
B3KXD6	PES1
A0A3B3IS71	RB1
A1KYQ7	EIF3C
Q9UKJ1	PILRA
Q9Y5S2	CDC42BPB
P16519	PCSK2
Q9Y5S1	TRPV2
Q9UKJ0	PILRB
Q9BTX1	NDC1
Q96R72	OR4K3
Q96QV1	HHIP
Q9Y5S8	NOX1
A0A3B3IRV3	MCTS2P
Q9Y5S9	RBM8A
Q9UKJ8	ADAM21
A0A0D9SES8	TLE3
Q96R67	OR4C12
P16520	GNB3
C9IZ04	PPP4R2
P17844	DDX5
Q96R69	OR4F4
Q496E4	RPS4Y1
Q9Y5T5	USP16
S4R3N1	HSPE1-MOB4
B3KXE7	cDNA FLJ45304 fis, clone BRHIP3003984, highly similar to IkappaB kinase complex-associated protein {
Q9Y5T4	DNAJC15
Q9Y657	SPIN1
K7EKC1	FOSB
Q9Y651	SOX21
Q9UKK3	PARP4
Q9Y653	ADGRG1
Q9BTW9	TBCD
Q9BU89	DOHH
Q96QU1	PCDH15
Q9UKK6	NXT1
Q149N8	SHPRH
P17861	XBP1
A0A3B3IS84	COPA
Q9NWX5	ASB6
A4UCT3	Beta-actin {ECO:0000313|EMBL:ABO65086.1}
Q9UKK9	NUDT5
A8MWA4	ZNF705E
Q96QT6	PHF12
Q05BZ5	CPSF3
A4UCU1	Cleavage and polyadenylation specific factor 3 {ECO:0000313|EMBL:ABO65094.1}
P17858	PFKL
Q3KRB8	ARHGAP11B
Q96R54	OR14A2
Q8WWZ3	EDARADD
Q96QT4	TRPM7
Q1XBU8	PIAS1
Q3KRB0	WDR67
E7EN96	MED22
P04553	PRM1
Q9BV10	ALG12
Q9BUP0	EFHD1
Q86XU0	ZNF677
B7ZKJ7	UAP1L1
Q9BUP3	HTATIP2
Q9ULF5	SLC39A10
Q8WY41	NANOS1
A0A3B3ISI2	EIF2B5
Q9NY43	BARHL2
Q9NY46	SCN3A
Q9NY47	CACNA2D2
A0A0B4J2B1	PIK3C3
Q8WXS8	ADAMTS14
A0A0G2JSE9	SMARCB1
Q8WXS5	CACNG8
Q96RM1	SPRR2F
B7ZKJ3	EPHA5
A0A0B4J2B8	IGHV1OR15-9
Q86XT2	VPS37D
E9PB93	POLR2D
A6ND36	FAM83G
Q86XT9	TMEM219
C9IZL8	PRKAR1B
Q9ULG1	INO80
Q86Y56	DNAAF5
Q9ULG6	CCPG1
Q86XT4	TRIM50
Q9Y6P5	SESN1
K7EJT4	PIAS2
K7EK53	EIF3K
Q3B794	STXBP5
Q9NY59	SMPD3
A0A0B4J2A2	PPIAL4C
Q6LCB2	Dynactin {ECO:0000313|EMBL:AAB52575.1}
Q9BUN5	CCDC28B
Q96RL7	VPS13A
Q96RL6	SIGLEC11
Q96RL1	UIMC1
Q8WXR4	MYO3B
Q9BUN8	DERL1
Q9Y6Q1	CAPN6
D3DXB7	NCBP2
Q9Y6Q3	ZFP37
A6NCS4	NKX2-6
Q9ULH0	KIDINS220
A6ND48	OR14I1
Q9Y6Q9	NCOA3
Q9ULH4	LRFN2
Q86XS8	RNF130
Q9ULH1	ASAP1
Q86Y46	KRT73
Q9Y6Q5	AP1M2
Q9ULH7	MRTFB
Q9NY61	AATF
Q9Y6Q6	TNFRSF11A
A4D2B8	PMS2P1
K7EJW9	ERCC1
Q9NY64	SLC2A8
Q9NY65	TUBA8
E3W990	SQSTM1
A0A3B3ISK1	COPA
Q96RK4	BBS4
Q96RK0	CIC
A0A3B3ISK7	DARS2
Q8WY21	SORCS1
Q96RK1	CITED4
Q05CH1	ARAP3
Q9Y6R1	SLC4A4
Q9Y6R4	MAP3K4
A0A0G2JSE2	MUC20
E7ENE1	IL12A
B3KXA5	cDNA FLJ45045 fis, clone BRAWH3021580, highly similar to Restin (Cytoplasmic linker protein 170 alph
Q9BUM1	G6PC3
Q9ULI0	ATAD2B
O95900	TRUB2
Q96RJ6	FERD3L
Q9Y6R0	NUMBL
Q86XR8	CEP57
Q86Y38	XYLT1
Q86XR7	TICAM2
Q9ULI4	KIF26A
Q86Y37	CACUL1
Q9ULI3	HEG1
Q9Y6R6	ZNF780B
Q86Y33	CDC20B
Q9NY72	SCN3B
Q9NXV2	KCTD5
Q9NY74	ETAA1
K7EK77	ATP5F1A
Q9NXV6	CDKN2AIP
Q9BUL9	RPP25
F8WF02	PDHB
Q86Y39	NDUFA11
Q96RJ3	TNFRSF13C
O95905	ECD
Q9BUL8	PDCD10
B3KXA2	cDNA FLJ45031 fis, clone BRAWH3018548, highly similar to Vinculin {ECO:0000313|EMBL:BAG54414.1}
O95907	SLC16A8
Q96RJ0	TAAR1
Q9BUL5	PHF23
Q9BV52	NCKAP1L
P52198	RND2
B3KWY2	cDNA FLJ44205 fis, clone THYMU3001379, highly similar to 116 kDa U5 small nuclear ribonucleoprotein 
C9IZG3	UFD1
Q9Y6K5	OAS3
P14618-3	PKM
Q9ULB1	NRXN1
Q9Y6K1	DNMT3A
A0A3B3ISM6	UROS
Q9ULB5	CDH7
Q96S21	RAB40C
Q96RQ1	ERGIC2
Q9ULB4	CDH9
Q8WXW3	PIBF1
A0A3B3ISM8	EIF2B5
Q96RQ3	MCCC1
A0A0B4J2F2	SIK1B
Q9Y6K9	IKBKG
Q9Y6K8	AK5
F8WEJ7	TAF6
O95918	OR2H2
Q86XX4	FRAS1
Q9BV40	VAMP8
P05813	CRYBA1
Q9BV47	DUSP26
O95922	TTLL1
Q86Y91	KIF18B
P05814	CSN2
Q05CF8	KNG1
Q9Y6L6	SLCO1B1
A0A3B3IT01	DARS2
Q9ULC3	RAB23
A6NCV1	OR6C74
Q86Y97	KMT5C
K7EK93	TLE2
Q9ULC6	PADI1
Q9ULC5	ACSL5
Q96RP3	UCN2
Q9ULC4	MCTS1
K7EK97	ERCC1
A0A0B4J2E2	CCL15-CCL14
Q9NY12	GAR1
Q9Y6L7	TLL2
A0A3B3ISN2	CDC73
Q9NY15	STAB1
Q9ULC8	ZDHHC8
Q96RP9	GFM1
Q96RP8	KCNA7
O95926	SYF2
A0A0B4J2E5	LOC102724159
O95925	EPPIN
Q9BV38	WDR18
Q96S15	WDR24
Q86Y82	STX12
Q9BV36	MLPH
Q9BUR5	APOO
Q9BV35	SLC25A23
Q9BUR4	WRAP53
O95931	CBX7
Q9Y6M5	SLC30A1
Q9ULD0	OGDHL
Q9Y6M4	CSNK1G3
Q9Y6M7	SLC4A7
Q9Y6M1	IGF2BP2
Q9Y6M0	PRSS21
Q9ULD8	KCNH3
Q8WY64	MYLIP
A0A3B3IT07	PDCD6IP
Q9ULD6	INTU
Q9ULD5	ZNF777
Q8WXU2	DNAAF4
Q9Y6M9	NDUFB9
Q9NY25	CLEC5A
Q9ULD9	ZNF608
Q9NY26	SLC39A1
Q9NY27	PPP4R2
A0A0B4J2D5	GATD3B
F8WEL4	NUP35
Q9BUQ8	DDX23
Q9NY28	GALNT8
O95936	EOMES
O95935	TBX18
A0A0B4J2D9	IGKV1D-13
Q6I9Y2	THOC7
Q2I0Y7	Casein kinase 2 alpha isoform {ECO:0000313|EMBL:ABC86794.1}
Q96S06	LMF1
Q86Y74	CROP
O95944	NCR2
Q9Y6N6	LAMC3
Q01780	EXOSC10
Q9Y6N5	SQOR
Q9ULE0	WWC3
Q9Y6N8	CDH10
Q9Y6N7	ROBO1
Q9Y6N1	COX11
Q9ULE3	DENND2A
Q9Y6N3	CLCA3P
Q9NY30	BTG4
Q00444	HOXC5
Q9NXR1	NDE1
Q96RN1	SLC26A8
Q9NY33	DPP3
A0A3B3IT15	COPA
Q9Y6N9	USH1C
Q9NXR7	BABAM2
Q9NY37	ASIC5
Q9NXR8	ING3
O95948	ONECUT2
O95947	TBX6
Q96RN5	MED15
Q8WY54	PPM1E
Q9BV19	C1orf50
Q13753	LAMC2
Q13751	LAMB3
Q96RE7	NACC1
Q8WXK3	ASB13
Q8WXK4	ASB12
F8WEW0	CAP2
Q9Y6G1	TMEM14A
Q86XM0	CATSPERD
F8WF82	STAG1
A8MVJ9	Putative histone PARylation factor 1-like {ECO:0000305}
Q9Y6G0	RNA-binding protein {ECO:0000313|EMBL:AAD44497.1}
Q96RE9	ZNF300
B3KWU4	cDNA FLJ43868 fis, clone TESTI4008050, highly similar to Translocation protein SEC63 homolog {ECO:00
F8WF86	UBA3
Q9BUG6	ZSCAN5A
Q9Y6G9	DYNC1LI1
B3KX59	cDNA FLJ44809 fis, clone BRACE3044172, highly similar to FKBP12-rapamycin complex-associated protein
Q9Y6G3	MRPL42
Q9BUG9	ITGB8
Q8WXK1	ASB15
A0A494BZX6	CDC42
A0A494BZX5	RAD50
Q13761	RUNX3
Q3B726	TWISTNB
Q9NXK6	PAQR5
Q9NXK8	FBXL12
Q13765	NACA
Q8WXJ9	ASB17
Q96RD7	PANX1
Q96RD6	PANX2
Q13769	THOC5
Q96RD1	OR6C1
O95967	EFEMP2
Q96RD0	OR8B2
O95965	ITGBL1
Q96RD3	OR52E6
Q96RD2	OR52B2
A8MVI5	ISY1
Q6WBX8	RAD9B
Q9Y6H1	CHCHD2
B3KWV6	Cytoplasmic FMR1-interacting protein {ECO:0000256|PIRNR:PIRNR008153}
E9PB13	KSR2
Q9Y6H8	GJA3
Q9BUF5	TUBB6
K7EJL1	AP1M1
Q9Y6H3	ATP23
Q9Y6H6	KCNE3
Q86XL3	ANKLE2
Q9BUF7	CRB3
Q9Y6H5	SNCAIP
Q05D33	PARP1
O95969	SCGB1D2
Q05D32	CTDSPL2
Q13772	NCOA4
Q9NXL9	MCM9
Q8WXI7	MUC16
P52179	MYOM1
Q8WXI8	CLEC4D
Q5XLA6	CARD17
O95972	BMP15
O95971	CD160
Q8WXI3	ASB10
O95977	S1PR4
Q8WXI4	ACOT11
A0A494BZZ2	TPM1
Q6Q0C0	TRAF7
Q9Y6I3	EPN1
Q2I0M5	RSPO4
O95970	LGI1
Q8WXI9	GATAD2B
Q96RC9	OR8B4
B3KWW8	cDNA FLJ44042 fis, clone TESTI4029671, highly similar to Protein EMSY {ECO:0000313|EMBL:BAG54280.1}
P40145	ADCY8
Q9Y6I8	PXMP4
A0A0B4J2H0	IGHV1-69D
B3KX79	cDNA FLJ44957 fis, clone BRAWH2011812, highly similar to VPS10 domain-containing receptor SorCS1 {EC
Q2I0M4	LRRC26
Q9Y6I4	USP3
Q9Y6I7	WSB1
Q86XK3	SFR1
Q86XK2	FBXO11
Q9BUE6	ISCA1
Q05CQ2	Olfactory receptor {ECO:0000256|RuleBase:RU363047}
A0A3B3ISC4	CAND2
K7EK07	H3-3B
A0A3B3ISC6	COPA
K7EK06	FARSA
Q9BUE0	MED18
A4D1Y2	LOC392884
O95985	TOP3B
Q8WXH6	RAB40A
C9IZF9	PDCD6IP
E1CKY7	PPP1R12B
O95983	MBD3
Q8WXH4	ASB11
Q05CP7	FABP1
Q6LC83	CDK4
Q05CP8	CCDC6
Q8WXH5	SOCS4
O95988	TCL1B
Q8WXH0	SYNE2
Q2VY69	ZNF284
A0A494BZY1	CHN1
Q05CP4	EIF2AK2
Q96RB7	OR5M11
A3KN83	SBNO1
O95980	RECK
Q9ULA0	DNPEP
Q9Y6J0	CABIN1
B3KX99	cDNA FLJ45019 fis, clone BRAWH3015825 {ECO:0000313|EMBL:BAG54411.1}
Q9Y6J9	TAF6L
Q9Y6J6	KCNE2
Q9BUD6	SPON2
Q9Y6J8	STYXL1
Q86XJ1	GAS2L3
Q13790	APOF
Q13794	PMAIP1
Q11130	FUT7
A0A3B3ISD2	CDC16
O95996	APC2
Q13797	ITGA9
O95995	GAS8
O95994	AGR2
Q13796	SHROOM2
Q13795	ARFRP1
Q9NXF7	DCAF16
Q9NXF8	ZDHHC7
Q05D04	LRRFIP1
O95999	BCL10
O95998	IL18BP
O95997	PTTG1
Q6I9S2	SNW1
Q86Y25	ZNF354C
Q86XQ3	CATSPER3
Q86Y22	COL23A1
B3KWQ3	cDNA FLJ43573 fis, clone RECTM2001691, highly similar to Actin, cytoplasmic 2 {ECO:0000313|EMBL:BAG5
O95990	FAM107A
F8WF32	RPN1
Q9Y6C2	EMILIN1
Q9Y6C5	PTCH2
F8WER6	KIF3C
K7EJQ6	YIF1B
Q9UKY1	ZHX1
Q9UKY0	PRND
F8WER8	NFS1
B3KX19	cDNA FLJ44500 fis, clone UTERU3000828, highly similar to 116 kDa U5 small nuclear ribonucleoprotein 
Q96RI1	NR1H4
Q9UKY4	POMT2
E7ENM1	STAT1
X5D995	NUBPL
Q9NXG0	CNTLN
Q9NXG2	THUMPD1
Q96RI0	F2RL3
Q3B768	KIAA0406
Q9UKY7	CDV3
Q05CN7	GTF3C4
A8MVM1	CASP3
Q9NXG6	P4HTM
Q6I9T8	PPP2CA
Q86XP3	DDX42
Q86Y13	DZIP3
B3KWR2	cDNA FLJ43638 fis, clone SPLEN2039845, highly similar to IMPORTIN ALPHA-1 SUBUNIT {ECO:0000313|EMBL:
B3KX32	cDNA FLJ44601 fis, clone BLADE2007799, highly similar to U3 small nucleolar RNA-associated protein 6
Q86XP1	DGKH
Q86XP0	PLA2G4D
K7EJP1	ATP5F1A
P40199	CEACAM6
Q9Y6D6	ARFGEF1
B3KX26	cDNA FLJ44538 fis, clone UTERU3005159, highly similar to TNF receptor-associated factor 5 {ECO:00003
B3KWQ6	cDNA FLJ43599 fis, clone SMINT2017781, highly similar to PERIPHERIN {ECO:0000313|EMBL:BAG54218.1}
Q9Y6D5	ARFGEF2
P40198	CEACAM3
P40197	GP5
Q9Y6D0	SELENOK
Q9UKZ1	CNOT11
Q9BUJ2	HNRNPUL1
Q9UKZ4	TENM1
Q9UKZ9	PCOLCE2
Q9Y6D9	MAD1L1
C9IZA5	VCP
E7ENJ6	AP1M1
C9IZA2	cDNA FLJ26372 fis, clone HRT06233 {ECO:0000313|EMBL:BAC85248.1}
E9PAU2	RAVER1
P54793	ARSF
P54792	DVL1P1
E9PB61	ALYREF
Q86Y01	DTX1
B3KWS5	cDNA FLJ43730 fis, clone TESTI1000390 {ECO:0000313|EMBL:BAG54237.1}
P40189	IL6ST
F8WET5	ICA1
Q9Y6E7	SIRT4
B3KWR7	cDNA FLJ43666 fis, clone SYNOV4007012 {ECO:0000313|EMBL:BAG54229.1}
B3KWR9	Toll-like receptor {ECO:0000256|RuleBase:RU363040}
Q9Y6E0	STK24
Q9Y6E3	HSPC027 {ECO:0000313|EMBL:AAD39843.1}
Q86Y07	VRK2
Q9Y6E2	BZW2
Q96RG2	PASK
A0A3B3ISG4	DVL3
Q9BUI4	POLR3C
Q9NXI6	RNF186
B3KWT2	cDNA FLJ43774 fis, clone TESTI2050137, highly similar to Homo sapiens rai-like protein (RaLP), mRNA 
B3KWT3	cDNA FLJ43783 fis, clone TESTI2051806, highly similar to Homo sapiens Dbf4-related factor 1 (DRF1), 
E7ENI6	ICA1
B3KWT5	cDNA FLJ43796 fis, clone TESTI4000153, highly similar to Homo sapiens cytoplasmic FMR1 interacting p
Q9BUH8	BEGAIN
Q9Y6F6	MRVI1
Q3B776	DISP1
B3KX47	cDNA FLJ44733 fis, clone BRACE3026290, highly similar to Lethal(2) giant larvae protein homolog 2 {E
K7EJR3	PSMD8
B3KWS6	cDNA FLJ43731 fis, clone TESTI1000391, highly similar to Breast cancer anti-estrogen resistance prot
Q9BUH6	PAXX
I6LPK7	BAX
Q9Y6F1	PARP3
K7EJR7	TLE2
Q86XN6	ZNF761
Q3B770	EIF3A
K7EK35	STAT5A
Q96RF0	SNX18
Q9Y6F9	WNT6
Q7KZF4	SND1
Q5FWF5	ESCO1
P26022	PTX3
Q5FWF7	FBXO48
P27352	CBLIF
C9J9X2	KIF3A
Q9UK39	NOCT
Q5FWF4	ZRANB3
Q96PZ0	PUS7
A5YKK6	CNOT1
Q96PZ2	FAM111A
P15374	UCHL3
Q9UK41	VPS28
Q9UK45	LSM7
P27348	YWHAQ
Q86WC4	OSTM1
Q9UJS2	GRP17
Q9NWA0	MED9
P28698	MZF1
Q5FWG8	IQGAP1
P02042	HBD
P27361	MAPK3
Q86WA9	SLC26A11
P30990	NTS
Q96PY6	NEK1
Q96PY5	FMNL2
Q86WB0	ZC3HC1
P15382	KCNE1
Q96PX8	SLITRK1
Q9UJT2	TSKS
A8MWT1	TANGO2
Q9UK55	SERPINA10
E7ENX8	Uncharacterized protein {ECO:0000313|Ensembl:ENSP00000391806}
Q9UK53	ING1
P52333	JAK3
Q9NWB1	RBFOX1
Q9UJT9	FBXL7
Q9UK59	DBR1
P51003	PAPOLA
A9YTQ3	AHRR
Q9UK58	CCNL1
P29992	GNA11
P30989	NTSR1
A8MX75	ERCC2
P30988	CALCR
Q9NWB7	IFT57
P53667	LIMK1
H2DF06	IL10RB
