Q9NXB0	MKS1
Q5BKX8	CAVIN4
Q9NX74	DUS2
Q9NX76	CMTM6
Q9NWV8	BABAM1
Q96QV6	HIST1H2AA
Q01718	MC2R
P30838	ALDH3A1
B3KXC1	CPEB3
Q9Y644	RFNG
Q9BTX6	RET
A1KYQ7	EIF3C
Q9UKJ1	PILRA
Q9Y5S2	CDC42BPB
P16519	PCSK2
Q9Y5S1	TRPV2
Q9UKJ0	PILRB
Q9BTX1	NDC1
Q96R72	OR4K3
Q96QV1	HHIP
Q9Y5S8	NOX1
Q9Y5S9	RBM8A
Q9UKJ8	ADAM21
Q96R67	OR4C12
P16520	GNB3
P17844	DDX5
Q96R69	OR4F4
Q96QU8	XPO6
Q9Y5T5	USP16
S4R3N1	HSPE1-MOB4
K7EKC1	FOSB
Q9Y651	SOX21
Q9UKK3	PARP4
Q9Y653	ADGRG1
Q9BTW9	TBCD
Q9BU89	DOHH
A6NDR6	MEIS3P1
Q96QU1	PCDH15
Q9UKK6	NXT1
Q149N8	SHPRH
P17861	XBP1
Q9NWX5	ASB6
A4UCT3	Beta-actin {ECO:0000313|EMBL:ABO65086.1}
Q9NWX6	THG1L
Q9UKK9	NUDT5
Q96QT6	PHF12
P17858	PFKL
Q3KRB8	ARHGAP11B
Q96R54	OR14A2
Q96QT4	TRPM7
Q8WWZ3	EDARADD
Q3KRB0	WDR67
E7EN96	MED22
Q9BV10	ALG12
Q9BUP3	HTATIP2
Q8WY41	NANOS1
Q9NY43	BARHL2
Q9NXS3	KLHL28
Q9NY46	SCN3A
Q9NY47	CACNA2D2
Q8WXS8	ADAMTS14
Q8WXS5	CACNG8
Q96RM1	SPRR2F
B7ZKJ3	EPHA5
Q86XT2	VPS37D
Q86XT9	TMEM219
Q9ULG1	INO80
Q9Y6P5	SESN1
Q9NY59	SMPD3
Q6LCB2	Dynactin {ECO:0000313|EMBL:AAB52575.1}
Q9BUN5	CCDC28B
Q96RL7	VPS13A
Q96RL6	SIGLEC11
Q96RL1	UIMC1
Q8WXR4	MYO3B
Q9BUN8	DERL1
Q9Y6Q1	CAPN6
Q9Y6Q3	ZFP37
A6NCS4	NKX2-6
Q9ULH0	KIDINS220
A6ND48	OR14I1
Q9Y6Q9	NCOA3
Q9ULH4	LRFN2
Q86XS8	RNF130
Q9ULH1	ASAP1
Q86Y46	KRT73
Q9Y6Q5	AP1M2
Q9ULH7	MKL2
Q9NY61	AATF
Q9Y6Q6	TNFRSF11A
A4D2B8	PMS2P1
Q9NY64	SLC2A8
Q9NY65	TUBA8
Q96RK4	BBS4
Q96RK0	CIC
Q8WY21	SORCS1
Q96RK1	CITED4
Q05CH1	ARAP3
Q9Y6R1	SLC4A4
Q9Y6R4	MAP3K4
Q9BUM1	G6PC3
Q9ULI0	ATAD2B
Q96RJ6	FERD3L
Q9Y6R0	NUMBL
Q86XR8	CEP57
Q86Y38	XYLT1
Q86XR7	TICAM2
Q9ULI4	KIF26A
Q86Y37	CACUL1
Q86Y33	CDC20B
Q9NXV2	KCTD5
K7EK77	ATP5A1
Q9NXV6	CDKN2AIP
Q9BUL9	RPP25
F8WF02	PDHB
Q86Y39	NDUFA11
O95905	ECD
Q96RJ3	TNFRSF13C
Q9BUL8	PDCD10
B3KXA2	cDNA FLJ45031 fis, clone BRAWH3018548, highly similar to Vinculin {ECO:0000313|EMBL:BAG54414.1}
O95907	SLC16A8
Q96RJ0	TAAR1
Q9BUL5	PHF23
Q9BV52	NCKAP1L
P52198	RND2
C9IZG3	UFD1
Q9Y6K5	OAS3
Q9ULB1	NRXN1
Q9Y6K1	DNMT3A
Q9Y6K0	CEPT1
Q9ULB5	CDH7
Q96RQ1	ERGIC2
Q9ULB4	CDH9
Q96RQ3	MCCC1
A0A0B4J2F2	LOC102724428
Q9Y6K9	IKBKG
O95918	OR2H2
Q86XX4	FRAS1
Q9BV40	VAMP8
P05813	CRYBA1
O95922	TTLL1
P05814	CSN2
Q05CF8	KNG1
Q9Y6L6	SLCO1B1
Q9ULC3	RAB23
A6NCV1	OR6C74
Q86Y97	KMT5C
Q9ULC5	ACSL5
Q96RP3	UCN2
Q9ULC4	MCTS1
A0A0B4J2E2	CCL15-CCL14
Q9NY12	GAR1
Q9Y6L7	TLL2
Q9NY15	STAB1
Q9ULC8	ZDHHC8
Q96RP9	GFM1
Q96RP8	KCNA7
O95926	SYF2
A0A0B4J2E5	LOC102724159
O95925	EPPIN
Q9BV38	WDR18
Q96S15	WDR24
Q86Y82	STX12
Q9BV36	MLPH
Q9BUR5	APOO
Q9BUR4	WRAP53
O95931	CBX7
Q9ULD0	OGDHL
Q9Y6M4	CSNK1G3
Q9ULD4	BRPF3
Q9Y6M0	PRSS21
Q9ULD8	KCNH3
Q8WY64	MYLIP
Q9ULD6	INTU
Q9Y6M9	NDUFB9
Q9NY25	CLEC5A
Q9ULD9	ZNF608
Q9NY26	SLC39A1
Q9NY27	PPP4R2
Q9BUQ8	DDX23
Q9NY28	GALNT8
O95936	EOMES
A0A0B4J2D9	IGKV1D-13
Q6I9Y2	THOC7
Q2I0Y7	Casein kinase 2 alpha isoform {ECO:0000313|EMBL:ABC86794.1}
Q96S06	LMF1
O95944	NCR2
Q9Y6N6	LAMC3
Q01780	EXOSC10
Q9Y6N5	SQOR
Q9ULE0	WWC3
Q9Y6N8	CDH10
Q9Y6N7	ROBO1
Q9Y6N1	COX11
Q9ULE3	DENND2A
Q9Y6N3	CLCA3P
Q9NY30	BTG4
Q00444	HOXC5
Q9NXR1	NDE1
Q96RN1	SLC26A8
Q9Y6N9	USH1C
Q9NXR7	BABAM2
Q9NY37	ASIC5
Q9NXR8	ING3
O95948	ONECUT2
O95947	TBX6
Q96RN5	MED15
Q8WY54	PPM1E
Q9BV19	C1orf50
Q13753	LAMC2
Q13751	LAMB3
Q96RE7	NACC1
Q8WXK3	ASB13
Q8WXK4	ASB12
Q9Y6G1	TMEM14A
Q86XM0	CATSPERD
Q96RE9	ZNF300
F8WF86	UBA3
Q9Y6G9	DYNC1LI1
B3KX59	cDNA FLJ44809 fis, clone BRACE3044172, highly similar to FKBP12-rapamycin complex-associated protein
Q9Y6G3	MRPL42
A0A0C4ZMZ1	KIR2DS5
Q9BUG9	ITGB8
Q9Y6G5	COMMD10
Q8WXK1	ASB15
Q13761	RUNX3
Q3B726	TWISTNB
Q9NXK6	PAQR5
Q9NXK8	FBXL12
Q13765	NACA
Q8WXJ9	ASB17
Q96RD7	PANX1
Q96RD6	PANX2
Q13769	THOC5
Q96RD1	OR6C1
O95967	EFEMP2
Q96RD0	OR8B2
O95965	ITGBL1
Q96RD3	OR52E6
Q96RD2	OR52B2
Q6WBX8	RAD9B
Q9Y6H1	CHCHD2
B3KWV6	cDNA FLJ43948 fis, clone TESTI4014924, highly similar to Homo sapiens cytoplasmic FMR1 interacting p
E9PB13	KSR2
Q9Y6H8	GJA3
Q9BUF5	TUBB6
Q86XL3	ANKLE2
Q9BUF7	CRB3
Q9Y6H5	SNCAIP
O95969	SCGB1D2
Q05D32	CTDSPL2
Q13772	NCOA4
Q9NXL9	MCM9
Q8WXI7	MUC16
P52179	MYOM1
Q5XLA6	CARD17
Q8WXI8	CLEC4D
O95972	BMP15
O95971	CD160
Q8WXI3	ASB10
O95977	S1PR4
Q8WXI4	ACOT11
Q6Q0C0	TRAF7
Q9Y6I3	EPN1
Q2I0M5	RSPO4
O95970	LGI1
Q8WXI9	GATAD2B
Q96RC9	OR8B4
P40145	ADCY8
A0A0B4J2H0	IGHV1-69D
Q2I0M4	LRRC26
Q9Y6I4	USP3
Q9Y6I7	WSB1
Q86XK3	SFR1
Q86XK2	FBXO11
Q9BUE6	ISCA1
Q05CQ2	Olfactory receptor {ECO:0000256|RuleBase:RU363047}
K7EK07	H3F3B
K7EK06	FARSA
Q9BUE0	MED18
O95985	TOP3B
Q8WXH6	RAB40A
O95983	MBD3
Q8WXH4	ASB11
Q05CP7	FABP1
Q05CP8	CCDC6
Q8WXH5	SOCS4
O95988	TCL1B
Q8WXH0	SYNE2
Q05CP4	EIF2AK2
Q96RB7	OR5M11
A3KN83	SBNO1
O95980	RECK
Q9ULA0	DNPEP
Q9Y6J0	CABIN1
Q9Y6J9	TAF6L
Q9Y6J6	KCNE2
Q9BUD6	SPON2
Q9Y6J8	STYXL1
Q86XJ1	GAS2L3
Q13790	APOF
Q13794	PMAIP1
O95996	APC2
Q13797	ITGA9
O95995	GAS8
Q13796	SHROOM2
O95994	AGR2
Q13795	ARFRP1
Q9NXF7	DCAF16
O95999	BCL10
O95998	IL18BP
O95997	PTTG1
Q6I9S2	SNW1
Q86XQ3	CATSPER3
Q86Y22	COL23A1
B3KWQ3	cDNA FLJ43573 fis, clone RECTM2001691, highly similar to Actin, cytoplasmic 2 {ECO:0000313|EMBL:BAG5
O95990	FAM107A
Q9Y6C2	EMILIN1
Q9Y6C5	PTCH2
Q9UKY0	PRND
Q96RI1	NR1H4
Q9UKY4	POMT2
X5D995	NUBPL
Q9NXG2	THUMPD1
Q96RI0	F2RL3
Q9Y6C9	MTCH2
Q9UKY7	CDV3
Q05CN7	GTF3C4
Q6I9T8	PPP2CA
Q86XP3	DDX42
Q86Y13	DZIP3
B3KWR2	cDNA FLJ43638 fis, clone SPLEN2039845, highly similar to IMPORTIN ALPHA-1 SUBUNIT {ECO:0000313|EMBL:
Q86XP1	DGKH
Q86XP0	PLA2G4D
K7EJP1	ATP5A1
P40199	CEACAM6
B3KX26	cDNA FLJ44538 fis, clone UTERU3005159, highly similar to TNF receptor-associated factor 5 {ECO:00003
B3KWQ6	cDNA FLJ43599 fis, clone SMINT2017781, highly similar to PERIPHERIN {ECO:0000313|EMBL:BAG54218.1}
P40198	CEACAM3
Q9Y6D5	ARFGEF2
P40197	GP5
Q9UKZ1	CNOT11
Q9BUJ2	HNRNPUL1
Q9UKZ9	PCOLCE2
Q9Y6D9	MAD1L1
P54793	ARSF
P54792	DVL1P1
E9PB61	ALYREF
Q86Y01	DTX1
P40189	IL6ST
F8WET5	ICA1
Q9Y6E7	SIRT4
Q9BUI6	UBE3A
B3KWR9	Toll-like receptor {ECO:0000256|RuleBase:RU363040}
Q9Y6E0	STK24
Q9Y6E3	HSPC027 {ECO:0000313|EMBL:AAD39843.1}
Q86Y07	VRK2
Q9Y6E2	BZW2
Q96RG2	PASK
Q9BUI4	POLR3C
E9PAV3	NACA
E7ENI6	ICA1
B3KWT5	cDNA FLJ43796 fis, clone TESTI4000153, highly similar to Homo sapiens cytoplasmic FMR1 interacting p
Q9BUH8	BEGAIN
Q9Y6F6	MRVI1
Q3B776	DISP1
B3KWS6	cDNA FLJ43731 fis, clone TESTI1000391, highly similar to Breast cancer anti-estrogen resistance prot
Q9Y6F1	PARP3
Q3B770	EIF3A
Q96RF0	SNX18
Q9Y6F9	WNT6
Q7KZF4	SND1
Q5FWF5	ESCO1
Q8WWA0	ITLN1
Q5FWF6	ZNF789
P27352	GIF
Q9UK39	NOCT
Q5FWF4	ZRANB3
A5YKK6	CNOT1
P15374	UCHL3
Q9UK41	VPS28
Q9UK45	LSM7
P27348	YWHAQ
Q86WC4	OSTM1
Q9NWA0	MED9
P28698	MZF1
P02042	HBD
P27361	MAPK3
Q86WA9	SLC26A11
P30990	NTS
Q96PY6	NEK1
Q96PY5	FMNL2
Q86WB0	ZC3HC1
P15382	KCNE1
Q96PX8	SLITRK1
Q9UJT1	TUBD1
Q9UK55	SERPINA10
Q9UK53	ING1
P52333	JAK3
Q9NWB1	RBFOX1
Q9UJT9	FBXL7
P51003	PAPOLA
A9YTQ3	AHRR
Q9UK58	CCNL1
P29992	GNA11
P30989	NTSR1
P30988	CALCR
Q9NWB6	ARGLU1
Q9NWB7	IFT57
P53667	LIMK1
H2DF06	IL10RB
Q96Q89	KIF20B
D3DX19	CLDN5
B7ZLZ7	SMC2
Q9UJU3	ZNF112
Q86WA8	LONP2
Q9UJU2	LEF1
P40306	PSMB10
Q9UK61	FAM208A
Q9UJU1	VIL2
P40305	IFI27
P03372	ESR1
Q9UJU6	DBNL
Q9UJU5	FOXD3
P26012	ITGB8
P53675	CLTCL1
P28676	GCA
P53674	CRYBB1
P53671	LIMK2
P26010	ITGB7
Q14917	SPTAN1
Q14916	SLC17A1
Q96Q83	ALKBH3
Q14919	DRAP1
Q96Q80	DERL3
Q9BSY4	CHCHD5
Q96PV4	PNMA5
Q9UK73	FEM1B
Q9UJV3	MID2
C9J9Z8	ICA1L
P26006	ITGA3
O43196	MSH5
Q9Y585	OR1A2
Q9Y584	TIMM22
A4D2P0	RAC1
Q9Y587	AP4S1
Q9Y4W6	AFG3L2
Q9BTA9	WAC
P53602	MVD
Q14929	ZNF169
Q86WG5	SBF2
P53609	PGGT1B
Q9Y592	CEP83
Q9Y4X1	UGT2A1
A8K010	LINC00473
Q9Y4X4	KLF12
Q9Y4X3	CCL27
Q5JB53	Proliferation-inducing gene 6 {ECO:0000313|EMBL:AAP74807.1}
Q7KZI7	MARK2
Q9UK05	GDF2
Q9UK08	GNG8
Q14934	NFATC4
Q9Y4X5	ARIH1
Q13601	KRR1
Q13608	PEX6
P53618	COPB1
Q13607	OR2F1
Q14938	NFIX
Q13606	OR5I1
P53611	RABGGTB
B7ZLY4	FLT3LG
B7ZLY6	PIK3C2G
Q9UK11	ZNF223
K7ELL7	PRKCSH
Q9UK10	ZNF225
P26045	PTPN3
P53621	COPA
Q13610	PWP1
Q9UJP4	KLHL21
O43174	CYP26A1
Q13615	MTMR3
Q13614	MTMR2
Q13613	MTMR1
Q9Y4Y9	LSM5
Q9UK17	KCND3
Q14943	KIR3DS1
Q13619	CUL4A
Q13618	CUL3
Q13617	CUL2
Q13616	CUL1
Q8WWC4	MAIP1
H0YNW5	DUT
P14061	HSD17B1
P15391	CD19
P14060	HSD3B1
Q9Y4Z0	LSM4
O43184	ADAM12
P26038	MSN
Q9UK22	FBXO2
Q9Y4Z2	NEUROG3
O43182	ARHGAP6
O43181	NDUFS4
Q9UK20	Ezrin {ECO:0000313|EMBL:AAD56713.1}
Q14953	KIR2DS5
Q9UJQ7	SCP2D1
Q14952	KIR2DS3
O43187	IRAK2
Q13621	SLC12A1
Q13620	CUL4B
O43186	CRX
Q9UJQ4	SALL4
Q14957	GRIN2C
Q13625	TP53BP2
Q14956	GPNMB
O43189	PHF1
Q14954	KIR2DS1
Q8WWB7	GLMP
P52306	RAP1GDS1
Q13627	DYRK1A
Q8WWB3	DYDC1
P53634	CTSC
P40337	VHL
O43194	GPR39
Q9UK33	ZNF580
O43193	MLNR
Q9UK32	RPS6KA6
O43155	FLRT2
P04632	CAPNS1
Q9Y547	HSPB11
Q9BT54	UROS
O43159	RRP8
Q9BST9	RTKN
P04637	TP53
O43157	PLXNB1
P16619	CCL3L1
Q9Y543	HES2
O43156	TTI1
P16615	ATP2A2
Q9NVW2	RLIM
Q01650	SLC7A5
Q9BT52	PMPCA
Q8WVW5	Uncharacterized protein {ECO:0000313|EMBL:AAH17450.1}
Q02978	SLC25A11
P17947	SPI1
P17948	FLT1
Q96PQ1	SIGLEC12
Q86VZ2	WDR5B
P30926	CHRNB4
Q86VZ1	P2RY8
Q9Y4T0	DKFZp564P2062
Q96Q27	ASB2
Q96PQ7	KLHL5
O43166	SIPA1L1
P05976	MYL1
Q9BT43	POLR3GL
O43164	PJA2
Q9BT49	THAP7
Q86VX4	SMC3
O43169	CYB5B
Q86W92	PPFIBP1
Q86VX2	COMMD7
O43167	ZBTB24
Q9NVX0	HAUS2
Q99880	HIST1H2BL
Q9NW91	cDNA FLJ10210 fis, clone HEMBA1006344, weakly similar to RADIXIN {ECO:0000313|EMBL:BAA91492.1}
Q9NVX2	NLE1
Q9BT40	INPP5K
Q86VX9	MON1A
Q9NVX7	KBTBD4
Q8WW76	FGA
Q99877	HIST1H2BN
Q96Q15	SMG1
Q99873	PRMT1
Q02962	PAX2
Q99871	HAUS7
D3DWY7	VBP1
Q9Y4U1	MMACHC
Q9Y561	LRP12
P05981	HPN
Q01638	IL1RL1
O43172	PRPF4
Q99878	HIST1H2AJ
Q99879	HIST1H2BM
Q8WVV9	HNRNPLL
Q9BSR4	POLR1B
Q9Y566	SHANK1
Q86VW2	ARHGEF25
A6NF01	POM121B
Q9HDB5	NRXN3
A8K070	GPS1
Q02952	AKAP12
P17927	CR1
Q9Y570	PPME1
Q9Y572	RIPK3
Q96Q06	PLIN4
Q96Q05	TRAPPC9
Q01628	IFITM3
Q01629	IFITM2
O43143	DHX15
Q9BT22	ALG1
Q9UJM1	Uncharacterized protein {ECO:0000313|EMBL:CAB57327.1}
Q9UJM0	Uncharacterized protein {ECO:0000313|EMBL:CAB57328.1}
O43148	RNMT
Q9Y574	ASB4
P04626	ERBB2
Q9BT25	HAUS8
Q9Y576	ASB1
Q9BSQ5	CCM2
Q9Y575	ASB3
P04628	WNT1
Q7KYZ1	PROS1
P04629	NTRK1
Q9NVZ3	NECAP2
Q0VAQ6	FBXO32
P54920	NAPA
Q8WW55	STAT5B protein {ECO:0000313|EMBL:AAH20868.1}
P17931	LGALS3
Q99855	NAD+-isocitrate dehydrogenase {ECO:0000313|EMBL:AAB47765.1}
Q8WVT3	TRAPPC12
Q99853	FOXB1
P17936	IGFBP3
D3YTJ7	PRPS2
Q9Y580	RBM7
Q96PN8	TSSK3
Q9Y4W2	LAS1L
O43151	TET3
O43150	ASAP2
Q99856	ARID3A
Q96PN7	TRERF1
Q96PN6	ADCY10
P29973	CNGA1
P29972	AQP1
P30968	GNRHR
Q9Y508	RNF114
Q96PV0	SYNGAP1
P15328	FOLR1
Q9UJF2	RASAL2
Q9NVS2	MRPS18A
Q96PU8	QKI
Q6LAI4	Sperm protein {ECO:0000313|EMBL:CAC79990.1}
P16662	UGT2B7
P17987	TCP1
Q96PU4	UHRF2
Q96PU5	NEDD4L
Q02930	CREB5
P02008	HBZ
P29966	MARCKS
D3DWV9	Isocitrate dehydrogenase [NAD] subunit, mitochondrial {ECO:0000256|RuleBase:RU361266}
P29965	CD40LG
Q495A1	TIGIT
Q9Y512	SAMM50
Q9Y4P1	ATG4B
Q6DJT9	PLAG1
P30954	OR10J1
P30953	OR1E1
Q9UJG1	MOSPD1
Q9BT81	SOX7
Q0VAS5	HIST1H4H
A4D2G3	OR2A25
P15336	ATF2
Q9Y4P8	WIPI2
Q9BSW2	CRACR2A
Q8WVZ9	KBTBD7
P16671	CD36
Q02928	CYP4A11
Q9BT78	COPS4
B7ZLN9	SP3
Q9BSV6	TSEN34
P15309	ACPP
Q9NVU0	POLR3E
Q9NW61	PLEKHJ1
Q9NW63	cDNA FLJ10293 fis, clone NT2RM1000280, highly similar to VACUOLAR ATP SYNTHASE SUBUNIT D (EC 3.6.1.3
Q9NW64	RBM22
P15311	EZR
Q9NVU7	SDAD1
Q96Q42	ALS2
C9J9M4	PSMD1
Q9BT67	NDFIP1
Q9Y534	CSDC2
Q9Y536	PPIAL4A
P05997	COL5A2
Q9Y535	POLR3H
A6NET4	OR5K3
Q86VZ6	JAZF1
Q86VZ5	SGMS1
Q96Q40	CDK15
P17980	PSMC3
Q9Y4R8	TELO2
Q9BSU3	NAA11
Q9BT61	Uncharacterized protein {ECO:0000313|EMBL:AAH04326.1}
P15313	ATP6V1B1
A0A0J9YW33	STX3
E7ENZ3	CCT5
Q9NVV9	THAP1
Q96PR1	KCNC2
Q99895	CTRC
Q96Q33	ALS2CR14
P30939	HTR1F
Q05B97	MYLK
Q6DKI0	raptor
Q63ZY6	NSUN5P2
Q6DKI1	RPL7L1
Q9BTN0	LRFN3
Q9UKD1	GMEB2
Q9Y5M8	SRPRB
Q63ZY3	KANK2
Q6DKI9	POLR1B
Q86X45	LRRC6
Q63ZY2	GPER
Q9NX20	MRPL16
Q8WWQ0	PHIP
Q9NX24	NHP2
Q99928	GABRG3
